5-16,15,0
5-19,12,0
5-21,12,0
5-23,6,0
5-26,18,0
5-28,21,0
5-30,18,53
6-2,6,0
6-4,12,0
6-6,12,0
6-9,9,0
6-11,9,0
6-13,24,0
6-16,18,0
6-18,6,0
6-20,12,15
6-23,12,0
6-27,15,40
6-30,12,0
7-2,15,0
7-4,9,5
7-7,15,0
