4-9,045,14,0
4-10,079,12,0
4-11,106,10,0
4-13,067,66,0
4-14,129,78,0
4-15,307,54,0
4-16,045,48,0
4-17,016,84,0
4-18,256,54,0
4-19,279,54,0
4-20,259,46,0
4-21,259,60,0
4-22,259,58,0
4-23,027,42,0
4-24,027,66,0
4-25,269,66,173
4-27,017,22,0
5-2,078,22,0
