4-1,048-024-246-468,20,0
4-2,048-024-246-468,20,0
4-3,048-024-246-468,20,0
4-4,048-024-246-468,20,0
4-5,048-024-246-468,20,0
4-6,048-024-246-468,20,0
4-7,048-024-246-468,20,0
4-8,048-024-246-468,20,0
4-9,048-024-246-468,20,0
4-10,048-024-246-468,20,0
4-11,048-024-246-468,20,0
4-12,048-024-246-468,16,0
4-13,048-024-246-468,8,0
4-14,048-024-246-468,8,0
4-15,048-024-246-468,14,0
4-16,048-024-246-468,12,0
4-17,048-024-246-468,14,0
4-18,048-024-246-468,16,0
4-19,048-024-246-468,20,0
4-20,048-024-246-468,26,0
4-21,048-024-246-468,12,0
4-22,048-024-246-468,20,0
4-23,048-024-246-468,28,0
4-24,048-024-246-468,28,0
4-25,048-024-246-468,30,0
4-26,048-024-246-468,46,0
4-27,048-024-246-468,36,0
4-28,048-024-246-468,48,0
4-29,048-024-246-468,38,0
4-30,048-024-246-468,20,0
5-1,048-024-246-468,38,0
5-2,048-024-246-468,26,0
5-3,048-024-246-468,26,0
5-4,048-024-246-468,50,0
5-5,048-024-246-468,46,0
